,varied_parameter,level,sublevel,number_low,number_high,baseline_value,unit,variation,new_value_low,new_value_high,start,end,run_id_low,run_id_high,total_erosion_low[m],total_erosion_high[m],rnte_low[-],rnte_high[-],volume_start_low[m2],volume_end_low[m2],volume_change_low[m2],volume_loss_low[m2],volume_start_high[m2],volume_end_high[m2],volume_change_high[m2],volume_loss_high[m2],erosion_diff[m],volume_change_diff[m2],volume_change_total[m2]
12,Surface flux angle,1.0,model,25.0,26.0,20,degrees,+-20%,16,24,01/01/2017,01/01/2018,sa_lvl1_25,sa_lvl1_26,4.0,4.0,1.0,1.0,520.833327601287,501.1876907733365,-19.64563682795051,19.64563682795051,520.833327601287,501.181831807,-19.65149579428703,19.65149579428703,0.0,0.005858966336518279,0.06819432277029591
4,Maximum nearshore depth,1.0,bathymetry,9.0,10.0,3,m,+-20%,2.4,3.6,01/01/2017,01/01/2018,sa_lvl1_9,sa_lvl1_10,4.0,4.0,1.0,1.0,520.8333349274442,500.98092989263137,-19.85240503481282,19.85240503481282,520.8333264699922,501.1665942497228,-19.66673222026941,19.66673222026941,0.0,0.185672814543409,0.185672814543409
33,Latitude,1.0,physical,67.0,68.0,70.13,degrees,+-5%,66.6235,73.6365,01/01/2017,01/01/2018,sa_lvl1_67,sa_lvl1_68,4.0,4.0,1.0,1.0,520.833327601287,500.9129909507615,-19.92033665052554,19.92033665052554,520.833327601287,500.9075607373459,-19.92576686394113,19.92576686394113,0.0,0.005430213415589691,0.4807765694588362
15,Maximum depth thermal module,1.0,model,31.0,32.0,15,m,+-20%,12,18,01/01/2017,01/01/2018,sa_lvl1_31,sa_lvl1_32,4.0,4.0,1.0,1.0,520.833327601287,500.80037691809775,-20.032950683189256,20.032950683189256,520.833327601287,500.8562823466407,-19.977045254646328,19.977045254646328,0.0,0.05590542854292835,0.6446689928277465
9,Sea ice threshold,1.0,model,19.0,20.0,0.3,-,+-20%,0.24,0.36,01/01/2017,01/01/2018,sa_lvl1_19,sa_lvl1_20,4.0,4.0,1.0,1.0,520.833327601287,500.988912976087,-19.844414625199988,19.844414625199988,520.833327601287,500.6358539701555,-20.19747363113152,20.19747363113152,0.0,0.35305900593153083,0.6765613113236704
13,Grid resolution Xbeach,1.0,model,27.0,28.0,40,ppwl,+-20%,32,48,01/01/2017,01/01/2018,sa_lvl1_27,sa_lvl1_28,4.0,4.0,1.0,1.0,520.8333218412421,500.13165486683727,-20.701666974404816,20.701666974404816,520.8333263459483,501.1866242658148,-19.646702080133537,19.646702080133537,0.0,1.0549648942712793,1.0549648942712793
26,Volumetric heat capacity (unfrozen soil),1.0,physical,53.0,54.0,7000000,J/K/m3,+-20%,5600000,8400000,01/01/2017,01/01/2018,sa_lvl1_53,sa_lvl1_54,6.0,4.0,1.5,1.0,520.833327601287,500.09498171256905,-20.73834588871796,20.73834588871796,520.833327601287,501.122111884338,-19.711215716949027,19.711215716949027,2.0,1.0271301717689312,1.084234660659149
7,Offshore slope,1.0,bathymetry,15.0,16.0,0.007,-,+-20%,0.0056,0.0084,01/01/2017,01/01/2018,sa_lvl1_15,sa_lvl1_16,6.0,4.0,1.5,1.0,520.8333192328158,500.07368397325695,-20.75963525955888,20.75963525955888,520.8333262676733,501.2516163904127,-19.581709877260664,19.581709877260664,2.0,1.1779253822982163,1.1779253822982163
36,Wave period,2.0,hydrodynamics,5.0,6.0,1,-,+-10%,*0.8,*1.2,01/01/2017,01/01/2018,sa_lvl2_5,sa_lvl2_6,4.0,4.0,1.0,1.0,520.833327601287,502.0208798759536,-18.812447725333413,18.812447725333413,520.833327601287,500.6676819305344,-20.16564567075261,20.16564567075261,0.0,1.353197945419197,1.353197945419197
17,Inter-storm XBeach activatinos,1.0,model,35.0,36.0,168,h,+-20%,134.4,201.6,01/01/2017,01/01/2018,sa_lvl1_35,sa_lvl1_36,6.0,4.0,1.5,1.0,520.833327601287,499.8283869529446,-21.004940648342423,21.004940648342423,520.833327601287,501.2365735135584,-19.59675408772864,19.59675408772864,2.0,1.4081865606137818,1.4081865606137818
