,runid,V_start[m2],V_end[m2],dV[m2]
0,sa_base,520.833327601287,501.1506641287831,-19.68266347250392
1,sa_base_alt,0.0,0.0,0.0
2,sa_lvl1_1,520.8333438458534,499.49998380257273,-21.333360043280663
3,sa_lvl1_2,520.8333367677683,502.06095185429126,-18.772384913477026
4,sa_lvl1_3,526.041660630742,519.2188748392175,-6.8227857915244385
5,sa_lvl1_4,517.3611104875055,491.32366721798587,-26.0374432695196
6,sa_lvl1_5,520.8333335359591,499.4695739276797,-21.36375960827945
7,sa_lvl1_6,520.8333333921203,502.9560400599594,-17.87729333216089
8,sa_lvl1_7,520.833327601287,499.79749936701114,-21.03582823427587
9,sa_lvl1_8,520.833327601287,500.87933251405696,-19.953995087230055
10,sa_lvl1_9,520.8333349274442,500.98092989263137,-19.85240503481282
11,sa_lvl1_10,520.8333264699922,501.16659424972283,-19.66673222026941
12,sa_lvl1_11,520.83334525324,504.7328314104003,-16.100513842839746
13,sa_lvl1_12,520.8333295683555,495.9588465092829,-24.87448305907253
14,sa_lvl1_13,520.8333406453976,500.0673368726375,-20.766003772760087
15,sa_lvl1_14,520.8333340443437,500.79170610641404,-20.04162793792966
16,sa_lvl1_15,520.8333192328158,500.07368397325695,-20.759635259558877
17,sa_lvl1_16,520.8333262676733,501.25161639041266,-19.581709877260664
18,sa_lvl1_17,520.8333338114388,501.15241241079787,-19.680921400640955
19,sa_lvl1_18,520.833330983427,498.86625519522113,-21.967075788205875
20,sa_lvl1_19,520.833327601287,500.988912976087,-19.844414625199988
21,sa_lvl1_20,520.833327601287,500.6358539701555,-20.197473631131516
22,sa_lvl1_21,520.833327601287,498.40207507846844,-22.431252522818568
23,sa_lvl1_22,520.833327601287,504.9766726707635,-15.856654930523518
24,sa_lvl1_23,520.833327601287,500.1585848500572,-20.674742751229815
25,sa_lvl1_24,520.833327601287,499.0265130789826,-21.80681452230442
26,sa_lvl1_25,520.833327601287,501.1876907733365,-19.64563682795051
27,sa_lvl1_26,520.833327601287,501.181831807,-19.65149579428703
28,sa_lvl1_27,520.8333218412421,500.13165486683727,-20.701666974404816
29,sa_lvl1_28,520.8333263459483,501.18662426581477,-19.646702080133537
30,sa_lvl1_29,520.833327601287,500.286761677055,-20.546565924232027
31,sa_lvl1_30,520.833327601287,500.57599715051697,-20.25733045077004
32,sa_lvl1_31,520.833327601287,500.80037691809775,-20.032950683189256
33,sa_lvl1_32,520.833327601287,500.8562823466407,-19.977045254646328
34,sa_lvl1_33,520.833327601287,501.1218521990911,-19.7114754021959
35,sa_lvl1_34,520.833327601287,499.1830761482147,-21.650251453072315
36,sa_lvl1_35,520.833327601287,499.8283869529446,-21.004940648342426
37,sa_lvl1_36,520.833327601287,501.23657351355837,-19.59675408772864
38,sa_lvl1_37,520.833327601287,488.3657312190694,-32.46759638221761
39,sa_lvl1_38,520.833327601287,510.53922410247856,-10.294103498808454
40,sa_lvl1_39,520.833327601287,498.4846553994414,-22.348672201845602
41,sa_lvl1_40,520.833327601287,499.228406381651,-21.604921219636026
42,sa_lvl1_41,520.833327601287,495.98952506904425,-24.843802532242762
43,sa_lvl1_42,520.833327601287,503.77350540885527,-17.05982219243174
44,sa_lvl1_43,520.833327601287,498.8392160017936,-21.994111599493408
45,sa_lvl1_44,520.833327601287,501.16559749821204,-19.667730103074973
46,sa_lvl1_45,520.833327601287,498.9063934197702,-21.9269341815168
47,sa_lvl1_46,520.833327601287,500.1549205205015,-20.67840708078552
48,sa_lvl1_47,520.833327601287,495.54631276987584,-25.28701483141117
49,sa_lvl1_48,520.833327601287,503.6765610619127,-17.156766539374303
50,sa_lvl1_49,520.833327601287,499.4537163359098,-21.379611265377207
51,sa_lvl1_50,520.833327601287,499.55382281106677,-21.279504790220244
52,sa_lvl1_51,520.833327601287,498.7610603307569,-22.07226727053012
53,sa_lvl1_52,520.833327601287,499.59717574369483,-21.236151857592176
54,sa_lvl1_53,520.833327601287,500.09498171256905,-20.73834588871796
55,sa_lvl1_54,520.833327601287,501.122111884338,-19.711215716949027
56,sa_lvl1_55,520.833327601287,501.67292827472943,-19.16039932655758
57,sa_lvl1_56,520.833327601287,499.3400110893019,-21.493316511985086
58,sa_lvl1_57,520.833327601287,499.19095112576224,-21.64237647552477
59,sa_lvl1_58,520.833327601287,499.25620899457954,-21.577118606707472
60,sa_lvl1_59,520.833327601287,499.2686530900562,-21.564674511230805
61,sa_lvl1_60,520.833327601287,501.80154509452655,-19.031782506760464
62,sa_lvl1_61,520.833327601287,498.36988217616795,-22.463445425119062
63,sa_lvl1_62,520.833327601287,501.4968604210867,-19.336467180200316
64,sa_lvl1_63,520.833327601287,495.5022611175609,-25.33106648372609
65,sa_lvl1_64,520.833327601287,509.330020071764,-11.503307529523
66,sa_lvl1_65,520.833327601287,501.1651004977459,-19.668227103541085
67,sa_lvl1_66,520.833327601287,498.7296318225722,-22.103695778714837
68,sa_lvl1_67,520.833327601287,500.91299095076147,-19.92033665052554
69,sa_lvl1_68,520.833327601287,500.9075607373459,-19.925766863941135
70,sa_lvl2_1,520.833327601287,502.5776161845299,-18.255711416757094
71,sa_lvl2_2,520.833327601287,497.9688206668159,-22.864506934471137
72,sa_lvl2_3,520.833327601287,503.53192091126675,-17.301406690020258
73,sa_lvl2_4,520.833327601287,496.2603532346195,-24.572974366667495
74,sa_lvl2_5,520.833327601287,502.0208798759536,-18.812447725333413
75,sa_lvl2_6,520.833327601287,500.6676819305344,-20.16564567075261
76,sa_lvl2_7,520.833327601287,500.111912733086,-20.72141486820101
77,sa_lvl2_8,520.833327601287,499.1181381829117,-21.715189418375303
78,sa_lvl2_9,520.833327601287,498.63547605877716,-22.197851542509852
79,sa_lvl2_10,520.833327601287,499.1021314278985,-21.731196173388525
80,sa_lvl2_11,520.833327601287,501.6946106551404,-19.138716946146587
81,sa_lvl2_12,520.833327601287,498.40320504874603,-22.43012255254098
82,sa_lvl2_13,520.833327601287,502.0107068888942,-18.82262071239279
83,sa_lvl2_14,520.833327601287,499.30324515229404,-21.53008244899297
84,sa_lvl2_15,520.833327601287,506.1476846013777,-14.685642999909305
85,sa_lvl2_16,520.833327601287,498.17036572656684,-22.662961874720168
86,sa_lvl2_17,520.833327601287,498.9469628589943,-21.8863647422927
87,sa_lvl2_18,520.833327601287,499.0525388440201,-21.78078875726692
88,sa_lvl3_1,520.833327601287,485.54671270276276,-35.28661489852425
89,sa_lvl3_2,520.833327601287,498.3582068895794,-22.475120711707632
