run_id;t_start;t_end;description;;;;;;;;;;
run_template;8-1-2020;8-10-2020;(MM-DD-YY) used as a read-to-run template, that is easily adjustable to generate other runs;;;;;;;;;;
;;;;;;;;;;;;;
test0;1-1-2020;31-12-2021;used in development (too high slope, some wrong parameters, weird offshore extension of grid, too much onshore transport)\;;;;;;;;;;
test1;1-1-2020;31-12-2021;fixed offshore grid extension and adjusted slope down, but still some weird parameters and likelyh too much onshore transport;;;;;;;;;;
test2;1-1-2020;31-12-2021;will adjust: grid resolution (should increase by factor ~2), resolutie verfijnen in grid generator, paar vlakke cellen toevoegen offshore zodat er geen bodem gradient is (stuk of 3 cellen), en meer (zie notes 28-6-2024, onder 'oplossing', en dan alles behalve asymmetry aanpassen);;;;;;;;;;
test3;1-1-2020;31-12-2021;zelfde als test 2, maar nu ook asymmetry waarden allemaal aanpassen naar 0.10 (ipv 0.15 - 0.20);;;;;;;;;;
;;;;;;;;;;;;;
val0;1-7-2011;1-10-2011;(DD-MM-YY) used to validate ground temperature model (without xbeach);;;;;;;;\;;
val0_xb;1-7-2011;1-10-2011;(DD-MM-YY) used to validate ground temperature model (with xbeach);;;;;;;;/;-->;both have outputs for every hour
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
val0;8-2-1950;7-10-2020;runs for the entire period for which there is coastal retreat data;;;;;;;;;;
val1;;;runs for the first characteristic period;;;;;;;;;;
val2;;;runs for the second characteristic period;;;;;;;;;;
val3;;;runs for the third characteristic period;;;;;;;;;;
val4;;;runs for the fourth characteristic period;;;;;;;;;;
val5;;;runs for the fifth characteristic period;;;;;;;;;;
;;;;;;;;;;;;;
sen0;1-1-2020;1-1-2021;k_frozen: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen1;;;k_unfrozen: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen2;;;call_xbeach_inter: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen3;;;c_frozen: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen4;;;c_unfrozen: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen5;;;reposeangle: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen6;;;with_solar: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen7;;;with_longwave: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen8;;;with_convective: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen9;;;with_latent: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen10;;;water_level_switch: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen11;;;nb: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen12;;;T_melt: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen13;;;max_depth: considers sensitivity of retreat rate to variable;;;;;;;;;;
sen14;;;sea_ice_threshold: considers sensitivity of retreat rate to variable;;;;;;;;;;
;;;;;;;;;;;;;
fut0;1-1-2020;1-1-2100;future prediction for scenario 0;;;;;;;;;;
fut1;;;;;;;;;;;;;
fut2;;;;;;;;;;;;;
fut3;;;;;;;;;;;;;
fut4;;;;;;;;;;;;;
fut5;;;;;;;;;;;;;
fut6;;;;;;;;;;;;;
